context,query,trigger
cut,nail clippers,scissors
cut,thumb tacks,stapler
cut,nail clippers,thumb tacks
cut,scissors,stapler
cut,thumb tacks,batteries
cut,stapler,batteries
cut,stapler,batteries
cut,stapler,thumb tacks
cut,stapler,batteries
cut,thumb tacks,batteries
cut,thumb tacks,stapler
cut,thumb tacks,batteries
cut,nail clippers,scissors
cut,thumb tacks,batteries
cut,nail clippers,batteries
cut,nail clippers,thumb tacks
cut,batteries,stapler
cut,stapler,batteries
cut,thumb tacks,batteries
cut,stapler,batteries
cut,nail clippers,keys
fridge,ketchup,meat
fridge,yogurt,ketchup
fridge,ketchup,meat
fridge,yogurt,milk
fridge,yogurt,ketchup
fridge,ketchup,meat
fridge,yogurt,ketchup
fridge,ketchup,juice
fridge,ketchup,meat
fridge,yogurt,meat
fridge,ketchup,water
fridge,ketchup,milk
fridge,ketchup,juice
fridge,milk,ketchup
fridge,yogurt,ketchup
fridge,ketchup,yogurt
fridge,ketchup,juice
fridge,yogurt,ketchup
fridge,juice,yogurt
fridge,yogurt,ketchup
fridge,yogurt,juice
fridge,yogurt,meat
fridge,yogurt,ketchup
fridge,water,ketchup
fridge,yogurt,meat
fridge,juice,ketchup
fridge,yogurt,milk
fridge,milk,ketchup
fridge,meat,yogurt
fridge,milk,ketchup
fridge,ketchup,meat
fridge,ketchup,yogurt
fridge,meat,ketchup
fridge,yogurt,meat
fridge,ketchup,milk
fridge,yogurt,meat
fridge,yogurt,meat
fridge,yogurt,water
fridge,water,yogurt
fridge,ketchup,meat
fridge,ketchup,juice
fridge,yogurt,ketchup
fridge,yogurt,meat
fridge,ketchup,meat
fridge,yogurt,water
fridge,ketchup,meat
fridge,meat,ketchup
fridge,juice,yogurt
fridge,ketchup,yogurt
fridge,yogurt,milk
fridge,yogurt,juice
fridge,ketchup,meat
fridge,milk,yogurt
fridge,juice,ketchup
fridge,milk,yogurt
fridge,yogurt,ketchup
fridge,yogurt,meat
fridge,yogurt,water
fridge,yogurt,meat
fridge,meat,ketchup
fridge,yogurt,meat
fridge,yogurt,meat
fridge,milk,yogurt
fridge,yogurt,juice
fridge,ketchup,meat
fridge,juice,yogurt
fridge,yogurt,ketchup
fridge,ketchup,milk
fridge,milk,yogurt
fridge,yogurt,ketchup
fridge,ketchup,milk
fridge,ketchup,water
fridge,yogurt,ketchup
fridge,ketchup,juice
fridge,ketchup,meat
fridge,yogurt,ketchup
fridge,ketchup,meat
fridge,meat,yogurt
fridge,meat,yogurt
fridge,meat,ketchup
fridge,yogurt,ketchup
fridge,yogurt,meat
fridge,juice,ketchup
fridge,ketchup,yogurt
fridge,ketchup,meat
fridge,yogurt,ketchup
fridge,juice,ketchup
fridge,juice,yogurt
fridge,yogurt,ketchup
fridge,ketchup,milk
fridge,yogurt,water
fridge,yogurt,juice
fridge,ketchup,meat
fridge,water,yogurt
fridge,yogurt,meat
fridge,yogurt,water
fridge,ketchup,juice
fridge,ketchup,yogurt
fridge,yogurt,ketchup
fridge,ketchup,water
fridge,juice,ketchup
fridge,milk,ketchup
fridge,yogurt,meat
fridge,ketchup,meat
fridge,ketchup,meat
fridge,yogurt,meat
fridge,yogurt,ketchup
fridge,yogurt,milk
fridge,ketchup,water
fridge,meat,yogurt
fridge,meat,yogurt
fridge,ketchup,meat
fridge,juice,yogurt
fridge,yogurt,meat
fridge,yogurt,milk
fridge,yogurt,juice
fridge,water,ketchup
fridge,milk,ketchup
fridge,ketchup,meat
hot,couch,heater
hot,couch,heater
hot,couch,heater
hot,blankets,heater
hot,heater,couch
hot,couch,heater
hot,blankets,heater
hot,couch,heater
hot,fan,heater
hot,shower,heater
hot,shower,heater
hot,heater,blankets
hot,fan,heater
hot,blankets,heater
hot,couch,heater
hot,heater,pool
hot,blankets,heater
hot,shower,heater
hot,heater,fan
hot,couch,heater
hot,heater,shower
hot,heater,couch
hot,blankets,heater
hot,pool,heater
hot,couch,heater
hot,shower,heater
hot,couch,heater
hot,heater,fan
hot,pool,heater
hot,heater,pool
hot,blankets,heater
hot,blankets,heater
hot,heater,blankets
hot,heater,shower
hot,blankets,heater
hot,couch,heater
hot,heater,fan
hot,couch,heater
hot,heater,shower
hot,fan,heater
hot,pool,heater
hot,couch,heater
hot,heater,fan
hot,couch,heater
hot,blankets,heater
hot,blankets,heater
hot,couch,heater
hot,heater,fan
hot,heater,blankets
hot,heater,shower
hot,blankets,heater
hot,heater,couch
hot,heater,blankets
hot,pool,heater
hot,shower,heater
hot,fan,heater
hot,couch,heater
hot,heater,shower
hot,heater,fan
hot,blankets,heater
hot,blankets,heater
hot,fan,heater
hot,couch,heater
hot,heater,pool
hot,couch,heater
hot,couch,heater
hot,couch,heater
hot,heater,pool
hot,couch,heater
hot,heater,shower
mall,gift shop,pretzel stand
mall,electronics store,coffee shop
mall,gift shop,coffee shop
mall,coffee shop,electronics store
mall,pretzel stand,burger joint
mall,coffee shop,pretzel stand
mall,electronics store,burger joint
mall,grocery store,electronics store
mall,grocery store,gift shop
mall,pretzel stand,gift shop
mall,coffee shop,burger joint
mall,pretzel stand,gift shop
mall,burger joint,coffee shop
mall,pretzel stand,grocery store
mall,coffee shop,burger joint
mall,coffee shop,burger joint
mall,pretzel stand,burger joint
mall,gift shop,grocery store
mall,pretzel stand,burger joint
mall,grocery store,gift shop
mall,gift shop,pretzel stand
mall,gift shop,burger joint
mall,pretzel stand,burger joint
mall,gift shop,burger joint
mall,pretzel stand,coffee shop
mall,pretzel stand,burger joint
mall,coffee shop,grocery store
mall,coffee shop,pretzel stand
mall,coffee shop,burger joint
mall,coffee shop,pretzel stand
mall,burger joint,gift shop
mall,coffee shop,electronics store
mall,pretzel stand,burger joint
mall,grocery store,electronics store
mall,gift shop,electronics store
mall,gift shop,electronics store
mall,grocery store,pretzel stand
mall,pretzel stand,electronics store
mall,grocery store,coffee shop
mall,grocery store,burger joint
mall,pretzel stand,grocery store
mall,electronics store,coffee shop
mall,coffee shop,pretzel stand
mall,pretzel stand,burger joint
mall,grocery store,electronics store
mall,gift shop,coffee shop
mall,pretzel stand,coffee shop
mall,gift shop,electronics store
mall,electronics store,grocery store
mall,coffee shop,burger joint
mall,grocery store,gift shop
mall,burger joint,electronics store
mall,gift shop,burger joint
mall,coffee shop,pretzel stand
mall,coffee shop,pretzel stand
mall,electronics store,grocery store
mall,grocery store,electronics store
mall,burger joint,grocery store
mall,coffee shop,pretzel stand
mall,pretzel stand,burger joint
mall,burger joint,electronics store
mall,coffee shop,pretzel stand
mall,gift shop,electronics store
mall,gift shop,coffee shop
mall,coffee shop,gift shop
mall,burger joint,electronics store
mall,electronics store,burger joint
mall,coffee shop,electronics store
mall,grocery store,gift shop
mall,coffee shop,burger joint
mall,electronics store,burger joint
mall,gift shop,electronics store
mall,pretzel stand,burger joint
mall,coffee shop,gift shop
mall,grocery store,electronics store
mall,coffee shop,pretzel stand
mall,gift shop,pretzel stand
mall,gift shop,pretzel stand
mall,grocery store,electronics store
mall,grocery store,electronics store
mall,grocery store,electronics store
mall,coffee shop,pretzel stand
mall,pretzel stand,burger joint
mall,pretzel stand,burger joint
mall,grocery store,pretzel stand
mall,burger joint,gift shop
mall,grocery store,gift shop
mall,grocery store,electronics store
mall,grocery store,pretzel stand
mall,burger joint,pretzel stand
mall,gift shop,grocery store
mall,gift shop,electronics store
mall,electronics store,gift shop
mall,electronics store,pretzel stand
mall,electronics store,coffee shop
mall,grocery store,pretzel stand
mall,coffee shop,pretzel stand
mall,grocery store,electronics store
mall,electronics store,burger joint
mall,coffee shop,pretzel stand
mall,coffee shop,grocery store
mall,pretzel stand,gift shop
mall,electronics store,gift shop
mall,electronics store,coffee shop
mall,coffee shop,pretzel stand
mall,coffee shop,electronics store
mall,electronics store,burger joint
mall,pretzel stand,burger joint
mall,pretzel stand,burger joint
mall,pretzel stand,burger joint
mall,coffee shop,burger joint
mall,pretzel stand,burger joint
mall,grocery store,electronics store
mall,grocery store,gift shop
mall,coffee shop,burger joint
mall,grocery store,gift shop
mall,coffee shop,burger joint
mall,electronics store,pretzel stand
mall,electronics store,coffee shop
mall,burger joint,electronics store
mall,coffee shop,grocery store
mall,coffee shop,burger joint
mall,coffee shop,burger joint
mall,grocery store,gift shop
mall,gift shop,grocery store
mall,gift shop,electronics store
mall,gift shop,electronics store
mall,pretzel stand,grocery store
mall,burger joint,grocery store
mall,gift shop,burger joint
mall,burger joint,grocery store
mall,electronics store,pretzel stand
mall,grocery store,coffee shop
mall,electronics store,pretzel stand
mall,burger joint,coffee shop
mall,grocery store,gift shop
mall,grocery store,electronics store
mall,grocery store,coffee shop
mall,gift shop,pretzel stand
mall,pretzel stand,coffee shop
mall,electronics store,pretzel stand
mall,grocery store,gift shop
mall,pretzel stand,coffee shop
mall,grocery store,gift shop
mall,gift shop,electronics store
mall,pretzel stand,electronics store
mall,grocery store,coffee shop
mall,burger joint,pretzel stand
mall,burger joint,grocery store
mall,grocery store,gift shop
mall,pretzel stand,coffee shop
mall,coffee shop,burger joint
mall,grocery store,electronics store
mall,gift shop,electronics store
mall,coffee shop,pretzel stand
mall,pretzel stand,burger joint
mall,burger joint,grocery store
mall,coffee shop,grocery store
mall,gift shop,electronics store
mall,gift shop,electronics store
mall,pretzel stand,burger joint
mall,coffee shop,burger joint
mall,coffee shop,pretzel stand
mall,coffee shop,burger joint
mall,grocery store,electronics store
mall,gift shop,grocery store
mall,gift shop,electronics store
mall,grocery store,electronics store
mall,gift shop,electronics store
mall,gift shop,burger joint
mall,coffee shop,burger joint
mall,gift shop,electronics store
mall,grocery store,electronics store
mall,gift shop,electronics store
mall,pretzel stand,grocery store
mall,gift shop,electronics store
mall,electronics store,grocery store
mall,gift shop,pretzel stand
mall,grocery store,gift shop
mall,pretzel stand,electronics store
mall,grocery store,gift shop
mall,pretzel stand,grocery store
mall,pretzel stand,burger joint
mall,grocery store,gift shop
mall,grocery store,coffee shop
mall,grocery store,electronics store
mall,coffee shop,pretzel stand
mall,coffee shop,grocery store
mall,electronics store,gift shop
mall,pretzel stand,burger joint
mall,coffee shop,electronics store
mall,grocery store,electronics store
mall,electronics store,gift shop
mall,gift shop,electronics store
mall,grocery store,electronics store
mall,gift shop,coffee shop
mall,burger joint,electronics store
mall,gift shop,burger joint
mall,coffee shop,pretzel stand
mall,electronics store,burger joint
mall,coffee shop,burger joint
mall,coffee shop,pretzel stand
mall,grocery store,burger joint
mall,grocery store,burger joint
mall,coffee shop,pretzel stand
mall,grocery store,burger joint
mall,grocery store,burger joint
mall,burger joint,gift shop
mall,coffee shop,pretzel stand
mall,gift shop,electronics store
mall,gift shop,grocery store
mall,grocery store,pretzel stand
mall,gift shop,electronics store
mask,napkins,wallet
mask,napkins,wallet
mask,handkerchief,bandana
mask,handkerchief,bandana
mask,bandana,wallet
mask,napkins,candy
mask,handkerchief,bandana
mask,wallet,napkins
mask,bandana,gloves
mask,napkins,gloves
mask,handkerchief,bandana
mask,candy,bandana
mask,bandana,candy
mask,candy,napkins
mask,napkins,gloves
mask,bandana,gloves
mask,napkins,wallet
mask,napkins,handkerchief
mask,wallet,bandana
mask,napkins,handkerchief
mask,napkins,bandana
mask,napkins,handkerchief
mask,bandana,candy
mask,candy,napkins
mask,napkins,handkerchief
mask,candy,bandana
mask,bandana,handkerchief
mask,candy,bandana
mask,candy,bandana
mask,gloves,napkins
mask,napkins,wallet
mask,napkins,bandana
mask,wallet,bandana
mask,handkerchief,bandana
mask,napkins,bandana
mask,napkins,bandana
mask,bandana,wallet
mask,handkerchief,bandana
mask,handkerchief,bandana
mask,napkins,bandana
mask,gloves,napkins
mask,wallet,napkins
mask,bandana,candy
mask,handkerchief,bandana
mask,napkins,handkerchief
mask,wallet,bandana
mask,napkins,gloves
mask,handkerchief,napkins
mask,bandana,candy
mask,napkins,handkerchief
mask,napkins,bandana
mask,napkins,bandana
mask,napkins,handkerchief
mask,napkins,wallet
mask,napkins,handkerchief
mask,bandana,wallet
mask,bandana,napkins
mask,bandana,wallet
mask,candy,napkins
mask,napkins,candy
mask,napkins,handkerchief
mask,napkins,bandana
mask,napkins,handkerchief
mask,napkins,bandana
mask,candy,napkins
mask,handkerchief,napkins
mask,napkins,handkerchief
mask,bandana,napkins
mask,gloves,bandana
mask,handkerchief,bandana
mask,bandana,handkerchief
mask,wallet,napkins
mask,handkerchief,napkins
mask,napkins,gloves
mask,bandana,gloves
mask,candy,napkins
mask,napkins,handkerchief
mask,handkerchief,bandana
mask,napkins,bandana
mask,bandana,napkins
mask,handkerchief,bandana
mask,handkerchief,napkins
mask,napkins,handkerchief
mask,gloves,bandana
mask,wallet,napkins
mask,handkerchief,napkins
mask,gloves,napkins
mask,gloves,napkins
mask,bandana,wallet
mask,napkins,handkerchief
mask,wallet,bandana
mask,handkerchief,bandana
mask,napkins,handkerchief
mask,bandana,gloves
mask,napkins,handkerchief
mask,bandana,handkerchief
mask,napkins,wallet
mask,bandana,gloves
mask,gloves,napkins
mask,napkins,handkerchief
mask,bandana,candy
mask,napkins,bandana
mask,napkins,bandana
mask,napkins,handkerchief
mask,bandana,gloves
mask,napkins,candy
mask,wallet,bandana
mask,napkins,handkerchief
mask,handkerchief,bandana
mask,bandana,napkins
mask,napkins,handkerchief
mask,napkins,candy
mask,bandana,napkins
meat,tofu,mushrooms
meat,tofu,mushrooms
meat,crab,tofu
meat,tofu,mushrooms
meat,turkey,tofu
meat,tofu,rice
meat,chicken,tofu
meat,turkey,tofu
meat,chicken,tofu
meat,tofu,mushrooms
meat,rice,tofu
meat,tofu,rice
meat,tofu,mushrooms
meat,mushrooms,tofu
meat,mushrooms,tofu
meat,chicken,tofu
meat,tofu,turkey
meat,tofu,rice
meat,rice,tofu
meat,tofu,mushrooms
meat,tofu,chicken
meat,turkey,tofu
meat,tofu,crab
meat,tofu,mushrooms
meat,tofu,chicken
meat,rice,tofu
meat,tofu,crab
meat,tofu,rice
meat,turkey,tofu
meat,tofu,rice
meat,tofu,rice
meat,tofu,mushrooms
meat,tofu,turkey
meat,tofu,rice
meat,tofu,rice
meat,tofu,mushrooms
meat,tofu,rice
meat,chicken,tofu
meat,tofu,mushrooms
meat,tofu,chicken
meat,tofu,turkey
meat,tofu,rice
meat,tofu,crab
meat,tofu,chicken
meat,tofu,turkey
meat,mushrooms,tofu
meat,crab,tofu
meat,crab,tofu
meat,crab,tofu
meat,tofu,rice
meat,tofu,mushrooms
meat,tofu,rice
meat,tofu,mushrooms
meat,tofu,turkey
meat,tofu,mushrooms
meat,mushrooms,tofu
meat,tofu,mushrooms
meat,mushrooms,tofu
meat,rice,tofu
meat,tofu,rice
meat,tofu,rice
meat,tofu,rice
meat,tofu,turkey
meat,tofu,mushrooms
meat,tofu,rice
meat,rice,tofu
meat,tofu,mushrooms
meat,tofu,mushrooms
meat,crab,tofu
meat,tofu,mushrooms
meat,tofu,rice
meat,turkey,tofu
meat,tofu,chicken
meat,tofu,rice
meat,tofu,mushrooms
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,soda
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,soup
restaurant,soda,cocktails
restaurant,cake,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,soup
restaurant,soup,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,cake
restaurant,cocktails,cake
restaurant,vodka,cocktails
restaurant,soda,cocktails
restaurant,cake,cocktails
restaurant,soda,cocktails
restaurant,cocktails,soup
restaurant,cocktails,vodka
restaurant,salad,cocktails
restaurant,cocktails,vodka
restaurant,soda,cocktails
restaurant,cocktails,soup
restaurant,cocktails,cake
restaurant,cocktails,salad
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,soda,cocktails
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,salad
restaurant,vodka,cocktails
restaurant,soda,cocktails
restaurant,soda,cocktails
restaurant,cocktails,soda
restaurant,salad,cocktails
restaurant,soda,cocktails
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,cake,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,soup
restaurant,soda,cocktails
restaurant,soup,cocktails
restaurant,soda,cocktails
restaurant,cocktails,salad
restaurant,vodka,cocktails
restaurant,vodka,cocktails
restaurant,soda,cocktails
restaurant,cocktails,soup
restaurant,cake,cocktails
restaurant,vodka,cocktails
restaurant,salad,cocktails
restaurant,salad,cocktails
restaurant,cocktails,soda
restaurant,cocktails,salad
restaurant,soda,cocktails
restaurant,vodka,cocktails
restaurant,cocktails,vodka
restaurant,soda,cocktails
restaurant,soda,cocktails
restaurant,cocktails,cake
restaurant,cake,cocktails
salad,lettuce,dressing
salad,meat,lettuce
salad,lettuce,meat
salad,tuna,lettuce
salad,meat,lettuce
salad,dressing,lettuce
salad,cigarettes,lettuce
salad,dressing,lettuce
salad,dressing,lettuce
salad,dressing,lettuce
salad,dressing,lettuce
salad,tuna,lettuce
salad,dressing,lettuce
salad,lettuce,tuna
salad,lettuce,dressing
salad,dressing,lettuce
salad,meat,lettuce
salad,tuna,lettuce
salad,dressing,lettuce
salad,lettuce,meat
salad,cigarettes,lettuce
salad,lettuce,tuna
salad,dressing,lettuce
salad,tuna,lettuce
salad,cigarettes,lettuce
salad,tuna,lettuce
salad,dressing,lettuce
salad,dressing,lettuce
salad,dressing,lettuce
salad,tuna,lettuce
salad,dressing,lettuce
salad,tuna,lettuce
salad,lettuce,dressing
salad,dressing,lettuce
salad,lettuce,meat
salad,lettuce,chips
salad,tuna,lettuce
salad,dressing,lettuce
salad,tuna,lettuce
salad,tuna,lettuce
salad,lettuce,chips
salad,tuna,lettuce
salad,lettuce,meat
salad,chips,lettuce
salad,lettuce,tuna
salad,tuna,lettuce
salad,cigarettes,lettuce
salad,lettuce,chips
salad,dressing,lettuce
salad,lettuce,cigarettes
salad,cigarettes,lettuce
salad,tuna,lettuce
salad,meat,lettuce
salad,lettuce,cigarettes
salad,lettuce,tuna
salad,dressing,lettuce
salad,lettuce,cigarettes
salad,tuna,lettuce
salad,lettuce,meat
salad,tuna,lettuce
